Sample ID	Species	Sociality	Sex	Tissue	Abstract	Publication	Collection Date	Location	RNA/DNA	Project Accession
SRR12053416	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053417	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053418	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053419	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053420	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053421	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053422	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053423	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-16	Mexico	RNA	PRJNA636137
SRR12053424	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Apr-16	Mexico	RNA	PRJNA636137
SRR12053425	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-17	Mexico	RNA	PRJNA636137
SRR12053426	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Apr-16	Mexico	RNA	PRJNA636137
SRR12053427	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	May-16	Mexico	RNA	PRJNA636137
SRR12053428	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	May-16	Mexico	RNA	PRJNA636137
SRR12053429	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jun-16	Mexico	RNA	PRJNA636137
SRR12053430	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jun-16	Mexico	RNA	PRJNA636137
SRR12053431	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jun-16	Mexico	RNA	PRJNA636137
SRR12053432	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jul-16	Mexico	RNA	PRJNA636137
SRR12053433	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Jul-16	Mexico	RNA	PRJNA636137
SRR12053434	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Aug-16	Mexico	RNA	PRJNA636137
SRR12053435	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Aug-16	Mexico	RNA	PRJNA636137
SRR12053436	Euglossa viridissima	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-17	Mexico	RNA	PRJNA636137
SRR12053437	Euglossa dilemma	Socially polymorphic	Female	abdomen	Young and old Euglossa viridissima individuals from both solitary and social nests were investigated for patterns gene expression in relation to age and sociality. This project is part of the "So-Long Project": Sociality and the reversal of the fecundity/longevity trade-off. URL: http://www.so-long.org	https://academic.oup.com/gbe/article/13/6/evab075/6259147	Mar-17	Mexico	RNA	PRJNA636137
SRR12097444	Apis mellifera	Eusocial	Female	pooled gut	Metagenome, bees, yeasts	https://onlinelibrary.wiley.com/doi/full/10.1002/yea.3665	Jul-21	Germany	RNA	PRJNA642095
SRR12097445	Apis mellifera	Eusocial	Female	pooled gut	Metagenome, bees, yeasts	https://onlinelibrary.wiley.com/doi/full/10.1002/yea.3665	Jul-21	Germany	RNA	PRJNA642095
SRR12097446	Apis mellifera	Eusocial	Female	pooled gut	Metagenome, bees, yeasts	https://onlinelibrary.wiley.com/doi/full/10.1002/yea.3665	Jul-21	Germany	RNA	PRJNA642095
SRR12097447	Apis mellifera	Eusocial	Female	pooled gut	Metagenome, bees, yeasts	https://onlinelibrary.wiley.com/doi/full/10.1002/yea.3665	Jul-21	Germany	RNA	PRJNA642095
SRR12245258	Bombus pyrosoma	Eusocial	Unknown	whole body	Comparative transcriptome reveals the adaptation mechanism of B.pyrosoma inhabiting on Tibet Plateau	https://www.mdpi.com/2075-4450/11/9/631	Jul-19	China	RNA	PRJNA646816
SRR12245523	Bombus pyrosoma	Eusocial	Unknown	whole body	Comparative transcriptome reveals the adaptation mechanism of B.pyrosoma inhabiting on Tibet Plateau	https://www.mdpi.com/2075-4450/11/9/631	Jul-19	China	RNA	PRJNA646831
SRR12527928	Bombus confusus	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527929	Bombus haemorrhoidalis	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527930	Bombus soroeensis	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527931	Bombus ignitus	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	DNA	PRJNA659134
SRR12527932	Bombus superbus	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527933	Bombus turneri	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527934	Bombus pyrosoma	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527935	Bombus ignitus	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527936	Bombus picipes	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	RNA	PRJNA659133
SRR12527937	Bombus waltoni	Eusocial	Unknown	whole body	Bumblebees are a diverse group of globally important pollinators in natural ecosystems and for agricultural food production. With both eusocial and solitary life-cycle phases, and some social parasite species, they are especially interesting models to understand social evolution, behavior, and ecology. Reports of many species in decline point to pathogen transmission, habitat loss, pesticide usage, and global climate change, as interconnected causes. These threats to bumblebee diversity make our reliance on a handful of well-studied species for agricultural pollination particularly precarious. To broadly sample bumblebee genomic and phenotypic diversity, we de novo sequenced and assembled the genomes of 17 species, representing all 15 subgenera, producing the first genus-wide quantification of genetic and genomic variation potentially underlying key ecological and behavioral traits. The species phylogeny resolves subgenera relationships while incomplete lineage sorting likely drives high levels of gene tree discordance. Five chromosome-level assemblies show a stable 18-chromosome karyotype, with major rearrangements creating 25 chromosomes in social parasites. Differential transposable element activity drives changes in genome sizes, with putative domestications of repetitive sequences influencing gene coding and regulatory potential. Dynamically evolving gene families and signatures of positive selection point to genus-wide variation in processes linked to foraging, diet and metabolism, immunity and detoxification, as well as adaptations for life at high altitudes. Our study reveals how bumblebee genes and genomes have evolved across the Bombus phylogeny and identifies variations potentially linked to key ecological and behavioral traits of these important pollinators. 	https://pubmed.ncbi.nlm.nih.gov/32946576/	Aug-16	China	DNA	PRJNA659135
